id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage
maker,MKR,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1620.6,1513702473.0,57,1585605271,125359373,1660.28,1518.14,95.63,6.27074,94742190.0,6.67687,933298.18,977631.04,1005577.0,6292.31,-74.27604,2021-05-03 21:54:29.333000+00:00,168.36,861.4253,2020-03-16 20:52:36.527000+00:00,2024-09-09 19:10:38.094000+00:00,0.0,N/A,0.0
binance-peg-weth,WETH,Binance-Peg Weth,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2348.65,1419773216.0,58,1419773216,27333692,2348.95,2266.99,71.61,3.14507,42617683.0,3.09462,605000.0,605000.0,,2808.56,-16.43576,2024-08-24 16:52:46.091000+00:00,2171.8,8.06488,2024-09-06 21:02:52.910000+00:00,2024-09-09 19:10:51.417000+00:00,0.0,N/A,0.0
the-graph,GRT,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.14,1355370232.0,59,1531307710,32089481,0.142695,0.132983,0.00830105,6.20509,77955347.0,6.10259,9548531509.17,10788004319.0,10788004319.0,2.84,-95.00738,2021-02-12 07:28:45.775000+00:00,0.052051,172.55088,2022-11-22 10:05:03.503000+00:00,2024-09-09 19:10:48.047000+00:00,0.0,N/A,0.0
arweave,AR,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,20.6,1346001381.0,60,1346001381,57674426,20.78,19.85,0.415792,2.05957,24252168.0,1.83485,65454185.54,65454185.54,66000000.0,89.24,-76.99359,2021-11-05 04:14:42.689000+00:00,0.298788,6771.03095,2020-01-31 06:47:36.543000+00:00,2024-09-09 19:10:51.394000+00:00,26.84337948762769,usd,2684.337948762769
helium,HNT,Helium,https://coin-images.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,7.77,1317494577.0,61,1732207100,28604859,8.4,7.61,-0.45523761406836183,-5.53557,-77386652.15462565,-5.5479,169610949.38,223000000.0,223000000.0,54.88,-85.94257,2021-11-12 23:08:25.301000+00:00,0.113248,6711.8876,2020-04-18 00:19:10.902000+00:00,2024-09-09 19:10:53.143000+00:00,0.0,N/A,0.0
bitget-token,BGB,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.94,1311532906.0,62,1873617100,26920454,0.946509,0.929025,0.00067762,0.07246,3474467.0,0.26562,1400001000.0,2000000000.0,2000000000.0,1.48,-36.74878,2024-06-01 03:50:55.951000+00:00,0.0142795,6452.38972,2020-06-25 04:17:05.895000+00:00,2024-09-09 19:10:53.012000+00:00,0.0,N/A,0.0
rocket-pool-eth,RETH,Rocket Pool Eth,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2620.7,1289447519.0,63,1289447519,10272231,2631.66,2541.99,70.23,2.75366,34316484.0,2.7341,492027.15,492027.15,,4814.31,-45.59004,2021-12-01 08:03:50.749000+00:00,887.26,195.22956,2022-06-18 20:55:45.957000+00:00,2024-09-09 19:10:55.472000+00:00,0.0,N/A,0.0
fantom,FTM,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.46,1281223046.0,64,1450931883,314357641,0.459815,0.404764,0.0497422,12.21431,140658758.0,12.33238,2803634835.53,3175000000.0,3175000000.0,3.46,-86.81438,2021-10-28 05:19:39.845000+00:00,0.00190227,23873.16845,2020-03-13 02:25:38.280000+00:00,2024-09-09 19:10:54.008000+00:00,14.232920502936476,usd,1423.2920502936477
thorchain,RUNE,Thorchain,https://coin-images.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,3.79,1268315079.0,65,1564707158,190146496,3.81,3.52,0.234584,6.59811,75844238.0,6.36026,335404329.0,413784842.0,500000000.0,20.87,-81.88738,2021-05-19 00:30:09.436000+00:00,0.00851264,44300.6081,2019-09-28 00:00:00+00:00,2024-09-09 19:10:39.957000+00:00,98.73435333791826,usd,9873.435333791826
floki,FLOKI,Floki,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.0,1242305328.0,66,1282034588,244308562,0.00012864,0.00012158,4.98e-06,4.03762,46715604.0,3.90733,9690107732757.0,10000000000000.0,10000000000000.0,0.00034495,-62.8954,2024-06-05 07:25:59.137000+00:00,8.428e-08,151765.67598,2021-07-06 01:11:20.438000+00:00,2024-09-09 19:10:53.020000+00:00,0.0,N/A,0.0
